ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
600276.SH,2021,259.0553,45.2285,637791.5403,0.16,10.2047,22.56,17.46
600276.SH,2020,277.346,63.1706,533123.1328,0.2,10.6625,16.88,22.78
600276.SH,2019,232.8858,53.3168,442229.1951,0.23,10.1713,19.08,22.89
600276.SH,2018,174.179,40.5563,368586.2057,0.22,8.1089,19.99,23.28
600276.SH,2017,138.3563,32.1739,283264.8038,0.13,3.6824,11.45,23.25
600276.SH,2016,110.9372,25.9004,234745.9674,0.135,3.1691,12.24,23.35
600276.SH,2015,93.1596,21.7231,195646.9076,0.1,1.9565,9.01,23.32
600276.SH,2014,74.5225,15.1445,150499.9312,0.085,1.2792,8.45,20.32
600276.SH,2013,62.0307,12.3812,136022.1193,0.0805,1.095,8.84,19.96
600276.SH,2012,54.3507,10.7743,123656.4721,0.071,0.878,8.15,19.82
600276.SH,2011,45.5039,8.7659,112414.9746,0.071,0.7981,9.11,19.26
600276.SH,2010,37.4411,7.2421,74943.3164,0.06,0.4497,6.21,19.34
600276.SH,2009,30.2896,6.6573,62074.322,0.07,0.4345,6.53,21.98
