ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
600085.SH,2021,146.031,11.8628,137147.0262,0.29,3.9773,33.53,8.12
600085.SH,2020,128.2588,9.5308,137147.0262,0.27,3.703,38.85,7.43
600085.SH,2019,132.7712,10.1644,137147.0262,0.76,10.4232,102.55,7.66
600085.SH,2018,142.0864,11.8739,137147.0262,0.26,3.5658,30.03,8.36
600085.SH,2017,133.7597,9.5176,137147.0262,0.25,3.4287,36.02,7.12
600085.SH,2016,120.9074,9.9241,137147.0262,0.24,3.2915,33.17,8.21
600085.SH,2015,108.0876,9.1662,137147.0262,0.23,3.1544,34.41,8.48
600085.SH,2014,96.8587,7.6183,137147.0262,0.209,2.8664,37.62,7.87
600085.SH,2013,87.1465,6.5123,131114.3086,0.19,2.4912,38.25,7.47
600085.SH,2012,75.0403,5.7111,130210.1217,0.2375,3.0925,54.15,7.61
600085.SH,2011,61.0838,4.2687,130206.5695,0.135,1.7578,41.18,6.99
600085.SH,2010,38.2445,3.406,52082.6278,0.265,1.3802,40.52,8.91
600085.SH,2009,32.5022,2.8571,52082.6278,0.207,1.0781,37.73,8.79
