ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
002304.SZ,2021,253.5018,75.0705,150644.5074,3.0,45.1934,60.2,29.61
002304.SZ,2020,211.0105,74.8062,149732.669,3.0,44.9198,60.05,35.45
002304.SZ,2019,231.2648,73.8058,150091.5661,3.0,45.0275,61.01,31.91
002304.SZ,2018,241.598,79.7231,150698.8,3.2,48.2236,60.49,33.0
002304.SZ,2017,199.1794,66.2694,150698.8,2.55,38.4282,57.99,33.27
002304.SZ,2016,171.8311,58.2829,150698.8,2.1,31.6467,54.3,33.92
002304.SZ,2015,160.5244,53.652,150698.8,1.8,27.1258,50.56,33.42
002304.SZ,2014,146.7221,45.075,107642.0,1.9,20.452,45.37,30.72
002304.SZ,2013,150.2362,50.0207,107642.0,1.906318,20.52,41.02,33.29
002304.SZ,2012,172.7048,61.543,108000.0,1.9,20.52,33.34,35.63
002304.SZ,2011,127.4092,40.2099,90000.0,1.35,12.15,30.22,31.56
002304.SZ,2010,76.1909,22.0467,45000.0,0.9,4.05,18.37,28.94
002304.SZ,2009,40.0205,12.5362,45000.0,0.72,3.24,25.85,31.32
