ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
601318.SH,2021,11804.44,992.81,1810764.1995,1.5,271.6146,27.36,8.41
601318.SH,2021,11804.44,992.81,1815335.6333,0.88,159.7495,16.09,8.41
601318.SH,2020,12183.15,1228.11,1821023.4607,2.2,400.6252,32.62,10.08
601318.SH,2019,11688.67,1579.26,1821023.4607,1.3,236.733,14.99,13.51
601318.SH,2019,11688.67,1579.26,1822264.6803,0.75,136.6699,8.65,13.51
601318.SH,2018,9768.32,1089.87,1828024.141,1.7200000000000002,314.4202,28.85,11.16
601318.SH,2017,8908.82,1106.72,1828024.141,1.7,310.7641,28.08,12.42
601318.SH,2016,7124.53,547.1,1828024.141,0.75,137.1018,25.06,7.68
601318.SH,2015,6199.9,545.65,1828024.141,0.53,96.8853,17.76,8.8
601318.SH,2014,4628.82,695.9,791620.5253,0.2375,18.801,2.7,15.03
601318.SH,2014,4628.82,695.9,914012.0705,0.475,43.4156,6.24,15.03
601318.SH,2013,3626.31,229.3,791614.2092,0.19,15.0407,6.56,6.32
601318.SH,2013,3626.31,229.3,791614.8463,0.4275,33.8415,14.76,6.32
601318.SH,2012,2993.72,323.89,791614.2092,0.42,33.2478,10.27,10.82
601318.SH,2011,2489.15,69.76,791614.2092,0.36,28.4981,40.85,2.8
601318.SH,2010,1894.39,143.54,764414.2092,0.495,37.8385,26.36,7.58
601318.SH,2009,1478.35,215.3,734505.3334,0.135,9.9158,4.61,14.56
601318.SH,2009,1478.35,215.3,764414.2092,0.27,20.6392,9.59,14.56
