ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
600436.SH,2021,80.2155,23.8546,60331.721,1.21,7.3001,30.6,29.74
600436.SH,2020,65.1078,17.2436,60331.721,0.9,5.4299,31.49,26.48
600436.SH,2019,57.2227,15.1809,60331.721,0.82,4.9472,32.59,26.53
600436.SH,2018,47.6616,11.3679,60331.721,0.6,3.6199,31.84,23.85
600436.SH,2017,37.1395,8.0391,60331.721,0.43,2.5943,32.27,21.65
600436.SH,2016,23.0895,4.4657,60331.721,0.27,1.629,36.48,19.34
600436.SH,2015,18.8567,3.6782,40221.1473,0.35,1.4077,38.27,19.51
600436.SH,2014,14.5387,7.0598,16088.4589,0.855,1.3756,19.48,48.56
600436.SH,2013,13.9587,3.7315,16088.4589,1.045,1.6812,45.06,26.73
600436.SH,2012,11.7115,4.4633,14000.0,0.76,1.064,23.84,38.11
600436.SH,2011,10.2157,1.9846,14000.0,0.63,0.882,44.44,19.43
600436.SH,2010,8.6731,2.9399,14000.0,0.63,0.882,30.0,33.9
600436.SH,2009,6.9475,1.7445,14000.0,0.45,0.63,36.11,25.11
