ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
600612.SH,2021,586.9077,18.8013,52311.7764,1.45,7.5852,40.34,3.2
600612.SH,2020,517.215,15.9026,52311.7764,1.25,6.539,41.12,3.07
600612.SH,2019,496.2866,14.0157,52311.7764,1.15,6.0159,42.92,2.82
600612.SH,2018,437.8447,11.3275,52311.7764,1.1,5.7543,50.8,2.59
600612.SH,2017,398.1035,10.691,52311.7764,1.05,5.4927,51.38,2.69
600612.SH,2016,349.6378,10.2042,52311.7764,1.0,5.2312,51.27,2.92
600612.SH,2015,357.1237,10.7185,52311.7764,0.96,5.0219,46.85,3.0
600612.SH,2014,328.3502,10.6356,52311.7764,0.855,4.4727,42.05,3.24
600612.SH,2013,329.8466,8.854,52311.7764,0.817,4.2739,48.27,2.68
600612.SH,2012,255.534,6.3653,52311.7764,0.57,2.9818,46.84,2.49
600612.SH,2011,211.264,4.9975,43593.147,0.09,0.3923,7.85,2.37
600612.SH,2009,108.5025,2.537,27695.7336,0.18,0.4985,19.65,2.34
