ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
600519.SH,2021,1094.6428,524.5246,125619.78,21.675,272.2809,51.91,47.92
600519.SH,2020,979.9324,466.9915,125619.78,19.293,242.3582,51.9,47.66
600519.SH,2019,888.5434,412.0634,125619.78,17.025,213.8677,51.9,46.38
600519.SH,2018,771.9938,352.0396,125619.78,14.539,182.6386,51.88,45.6
600519.SH,2017,610.6276,270.832,125619.78,10.999,138.1692,51.02,44.35
600519.SH,2016,401.5508,167.2016,125619.78,6.787,85.2581,50.99,41.64
600519.SH,2015,334.4686,154.9068,125619.78,6.171,77.52,50.04,46.31
600519.SH,2014,322.1721,153.4919,114199.8,4.1503,47.3963,30.88,47.64
600519.SH,2013,310.706,151.3664,103818.0,4.1503,43.0876,28.47,48.72
600519.SH,2012,264.5534,133.0808,103818.0,6.09805,63.3087,47.57,50.3
600519.SH,2011,184.0236,87.6315,103818.0,3.5973,37.3464,42.62,47.62
